token_context,word_context,seg_context,sent_cotext,label
"['(KittPolgure', 'Theframeworkwasoriginallydevelopedfortherealizationofdeep-syntacticstructuresinNLG #TAUTHOR_TAG.']","['(KittredgePolgu~re,', 'Theframeworkwasoriginallydevelopedfortherealizationofdeep-syntacticstructuresinNLG #TAUTHOR_TAG.']","['(KittPolgure', 'Theframeworkwasoriginallydevelopedfortherealizationofdeep-syntacticstructuresinNLG #TAUTHOR_TAG.']","['', 'Theframeworkwasoriginallydevelopedfortherealizationofdeep-syntacticstructuresinNLG #TAUTHOR_TAG.']",0
"['veryMTmult', 'Figure2illustratesaDSyntSfromameteorologicalapplication,MeteoCogent #AUTHOR_TAG,representedusingthestandardgraphicalnotationandalsotheRealProASCIInotationusedinternallyintheframework #TAUTHOR_TAG.']","['veryMTmultilingual', 'Figure2illustratesaDSyntSfromameteorologicalapplication,MeteoCogent #AUTHOR_TAG,representedusingthestandardgraphicalnotationandalsotheRealProASCIInotationusedinternallyintheframework #TAUTHOR_TAG.']","['MTmult', 'Figure2illustratesaDSyntSfromameteorologicalapplication,MeteoCogent #AUTHOR_TAG,representedusingthestandardgraphicalnotationandalsotheRealProASCIInotationusedinternallyintheframework #TAUTHOR_TAG.']","['', 'Figure2illustratesaDSyntSfromameteorologicalapplication,MeteoCogent #AUTHOR_TAG,representedusingthestandardgraphicalnotationandalsotheRealProASCIInotationusedinternallyintheframework #TAUTHOR_TAG.']",2
"['--oIIafaillipleuvoir.', 'Moredetailsonhowthestructuraldivergencesdescribedin #TAUTHOR_TAGcanbeaccountedforusingourformalismcanbefoundin #AUTHOR_TAG.']","['--oIIafaillipleuvoir.', 'Moredetailsonhowthestructuraldivergencesdescribedin #TAUTHOR_TAGcanbeaccountedforusingourformalismcanbefoundin #AUTHOR_TAG.']","['--oIIafaillipleuvoir.', 'Moredetailsonhowthestructuraldivergencesdescribedin #TAUTHOR_TAGcanbeaccountedforusingourformalismcanbefoundin #AUTHOR_TAG.']","['--oIIafaillipleuvoir.', 'Moredetailsonhowthestructuraldivergencesdescribedin #TAUTHOR_TAGcanbeaccountedforusingourformalismcanbefoundin #AUTHOR_TAG.']",0
"['wepresentalinguisticallymotivatedframeworkforuniformstructuralprocessing.', 'Ithasbeenusedfortransformationsofconceptualandsyntacticstructuresduringgenerationinmonolingualandmultilingualnaturallanguagegeneration(NLG)andfor', 'OurworkextendsdirectionstakeninsystemssuchasAriane #AUTHOR_TAG,FoG #AUTHOR_TAG,JOYCE(Rambowand #TAUTHOR_TAG,andLFS #AUTHOR_TAG.', 'Althoughitadoptsthegeneralprinciplesfoundintheabovementionedsystemsto']","['wepresentalinguisticallymotivatedframeworkforuniformprocessing.', 'Ithasbeenusedfortransformationsofconceptualandsyntacticstructuresduringgenerationinmonolingualandmultilingualnaturallanguagegeneration(NLG)andfor', 'OurworkextendsdirectionstakeninsystemssuchasAriane #AUTHOR_TAG,FoG #AUTHOR_TAG,JOYCE(Rambowand #TAUTHOR_TAG,andLFS #AUTHOR_TAG.', 'Althoughitadoptsthegeneralprinciplesfoundintheabovementionedsystems,to']","['wepresentalinguisticallymotivatedframeworkforuniformlexicostructuralprocessing.', 'Ithasbeenusedfortransformationsofconceptualandsyntacticstructuresduringgenerationinmonolingualandmultilingualnaturallanguagegeneration(NLG)andfor', 'OurworkextendsdirectionstakeninsystemssuchasAriane #AUTHOR_TAG,FoG #AUTHOR_TAG,JOYCE(Rambowand #TAUTHOR_TAG,andLFS #AUTHOR_TAG.', 'Althoughitadoptsthegeneralprinciplesfoundintheabovementionedsystems,to']","['Inthispaperwepresentalinguisticallymotivatedframeworkforuniformlexicostructuralprocessing.', 'Ithasbeenusedfortransformationsofconceptualandsyntacticstructuresduringgenerationinmonolingualandmultilingualnaturallanguagegeneration(NLG)andfortransferinmachinetranslation(MT).', 'OurworkextendsdirectionstakeninsystemssuchasAriane #AUTHOR_TAG,FoG #AUTHOR_TAG,JOYCE(Rambowand #TAUTHOR_TAG,andLFS #AUTHOR_TAG.', '']",2
"['TheframeworkrepresentsageneralizationofseveralpredecessorNLGsystemsbasedonMeaning-TextTheory:FoG #AUTHOR_TAG,LFS #AUTHOR_TAG,andJOYCE(Rambowand #TAUTHOR_TAG.', 'Theframeworkwasoriginallydevelopedfortherealizationofdeep-syntacticstructuresinNLG.']","['TheframeworkrepresentsageneralizationofseveralpredecessorNLGsystemsbasedonMeaning-TextTheory:FoG #AUTHOR_TAG,LFS #AUTHOR_TAG,andJOYCE(Rambowand #TAUTHOR_TAG.', 'Theframeworkwasoriginallydevelopedfortherealizationofdeep-syntacticstructuresinNLG.']","['TheframeworkrepresentsageneralizationofseveralpredecessorNLGsystemsbasedonMeaning-TextTheory:FoG #AUTHOR_TAG,LFS #AUTHOR_TAG,andJOYCE(Rambowand #TAUTHOR_TAG.', 'Theframeworkwasoriginallydevelopedfortherealizationofdeep-syntacticstructuresinNLG.']","['TheframeworkrepresentsageneralizationofseveralpredecessorNLGsystemsbasedonMeaning-TextTheory:FoG #AUTHOR_TAG,LFS #AUTHOR_TAG,andJOYCE(Rambowand #TAUTHOR_TAG.', 'Theframeworkwasoriginallydevelopedfortherealizationofdeep-syntacticstructuresinNLG.']",2
"['boundary', '', ""Partofspeechtaggerstypicallyrequireinputintheformatofasinglesentenceperline(forexampleBrill'stagger #TAUTHOR_TAG)andparsersgenerallyaimtoproduceatreespanningeachsentence.""]","['boundary', '', ""Partofspeechtaggerstypicallyrequireinputintheformatofasinglesentenceperline(forexampleBrill'stagger #TAUTHOR_TAG)andparsersgenerallyaimtoproduceatreespanningeachsentence.""]","['', '', ""Partofspeechtaggerstypicallyrequireinputintheformatofasinglesentenceperline(forexampleBrill'stagger #TAUTHOR_TAG)andparsersgenerallyaimtoproduceatreespanningeachsentence.""]","['', '', ""Partofspeechtaggerstypicallyrequireinputintheformatofasinglesentenceperline(forexampleBrill'stagger #TAUTHOR_TAG)andparsersgenerallyaimtoproduceatreespanningeachsentence.""]",0
"['Forbothlanguages,weresolvedcoreferencebyusingSWIZZLE,ourimplementationofabilingualcoreferenceresolver.', 'SWIZZLEisamultilingualenhancementofCOCKTAIL #TAUTHOR_TAG,acoreferenceresolutionsystemthatoperatesonamixtureofheuristicsthatcombinesemanticandtextualcohesiveinformation.', 'COCKTAILwasappliedseparatelyontheEnglishandtheRo-manian', 'alignedreferentialexpressionscoreferwithnon-alignedanaphors,SWIZZLEderivednewheuris-ticsforcoreference.', 'OurexperimentsshowthatSWIZZLEoutperformedCOCKTAILonbothEnglishandRomaniantestdocuments.']","['Forbothlanguages,weresolvedcoreferencebyusingSWIZZLE,ourimplementationofabilingualcoreferenceresolver.', 'SWIZZLEisamultilingualenhancementofCOCKTAIL #TAUTHOR_TAG,acoreferenceresolutionsystemthatoperatesonamixtureofheuristicsthatcombinesemanticandtextualcohesiveinformation.', 'COCKTAILwasappliedseparatelyontheEnglishandtheRo-manian', 'alignedreferentialexpressionscoreferwithnon-alignedanaphors,SWIZZLEderivednewheuris-ticsforcoreference.', 'OurexperimentsshowthatSWIZZLEoutperformedCOCKTAILonbothEnglishandRomaniantestdocuments.']","['Forbothlanguages,weresolvedcoreferencebyusingSWIZZLE,ourimplementationofabilingualcoreferenceresolver.', 'SWIZZLEisamultilingualenhancementofCOCKTAIL #TAUTHOR_TAG,acoreferenceresolutionsystemthatoperatesonamixtureofheuristicsthatcombinesemanticandtextualcohesiveinformation.', 'COCKTAILwasappliedseparatelyontheEnglishandtheRo-man', 'alignedreferentialexpressionscoreferwithnon-alignedanaphors,SWIZZLEderivednewheuris-ticsforcoreference.', 'OurexperimentsshowthatSWIZZLEoutperformedCOCKTAILonbothEnglishandRomaniantestdocuments.']","['Forbothlanguages,weresolvedcoreferencebyusingSWIZZLE,ourimplementationofabilingualcoreferenceresolver.', 'SWIZZLEisamultilingualenhancementofCOCKTAIL #TAUTHOR_TAG,acoreferenceresolutionsystemthatoperatesonamixtureofheuristicsthatcombinesemanticandtextualcohesiveinformation.', '', 'Whenalignedreferentialexpressionscoreferwithnon-alignedanaphors,SWIZZLEderivednewheuris-ticsforcoreference.', 'OurexperimentsshowthatSWIZZLEoutperformedCOCKTAILonbothEnglishandRomaniantestdocuments.']",2
"['robcoresystemsemployknowledge-basedtechniques.', 'Tradsydiscknowledge.', 'Theacquisitionofsuchknowledgeistime-consuming,difficult,anderror-prone.', 'Nevertheless,recentresultsshowthatknowledge-poormethodsperformwithamazingaccuracy(cfXXX #TAUTHOR_TAG, #AUTHOR_TAG #AUTHOR_TAG).', 'Forexample,CogNIAC #AUTHOR_TAG,asystembasedonsevenorderedheuristics,generateshigh-precisionresolution(over90%)some', '', '', '', '']","['robustcoreferencesystemsemployknowledge-basedtechniques.', 'discourseknowledge.', 'Theacquisitionofsuchknowledgeistime-consuming,difficult,anderror-prone.', 'Nevertheless,recentresultsshowthatknowledge-poormethodsperformwithamazingaccuracy(cfXXX #TAUTHOR_TAG, #AUTHOR_TAG #AUTHOR_TAG).', 'Forexample,CogNIAC #AUTHOR_TAG,asystembasedonsevenorderedheuristics,generateshigh-precisionresolution(over90%)some', '', '', '', '']","['employknowledge-basedtechniques.', 'Traddiscourseknowledge.', 'Theacquisitionofsuchknowledgeistime-consuming,difficult,anderror-prone.', 'Nevertheless,recentresultsshowthatknowledge-poormethodsperformwithamazingaccuracy(cfXXX #TAUTHOR_TAG, #AUTHOR_TAG #AUTHOR_TAG).', 'Forexample,CogNIAC #AUTHOR_TAG,asystembasedonsevenorderedheuristics,generateshigh-precisionresolution(over90%)somecases', '', '', '', '']","['', '', 'Theacquisitionofsuchknowledgeistime-consuming,difficult,anderror-prone.', 'Nevertheless,recentresultsshowthatknowledge-poormethodsperformwithamazingaccuracy(cfXXX #TAUTHOR_TAG, #AUTHOR_TAG #AUTHOR_TAG).', 'Forexample,CogNIAC #AUTHOR_TAG,asystembasedonsevenorderedheuristics,generateshigh-precisionresolution(over90%)forsomecasesofpronominalreference.', '', '', '', '']",0
"['heuristicsresolvesco', '', '', '', 'Tableingofforpr', 'uristicsUCdata', 'DetailsofthetopperformingheuristicsofCOCKTAILwerereportedin #TAUTHOR_TAG.']","['heuristicsresolves', '', '', '', 'Tableperformingof', 'heuristicsMUCdata', 'DetailsofthetopperformingheuristicsofCOCKTAILwerereportedin #TAUTHOR_TAG.']","['heuristicsresolvescoreferenceco', '', '', '', 'Tableofforpr', 'theMUCdata', 'DetailsofthetopperformingheuristicsofCOCKTAILwerereportedin #TAUTHOR_TAG.']","['', '', '', '', '', '', 'DetailsofthetopperformingheuristicsofCOCKTAILwerereportedin #TAUTHOR_TAG.']",0
"['knowledge-basedtechn', '', '', '', '', '', 'Forthisresearch,weusedacoreferenceresolutionsystem( #TAUTHOR_TAG)thatimplementsdifferentsetsofheuristicscorrespondingtovariousformsofcoreference.', 'Thisresolvescoreferenceby(e.g.termrepetition(e.g.', 'subjectsofcommunicationverbsaremorelikelytorefertothelastpersonmentionedinthetext).', '', '']","['knowledge-based', '', '', '', '', '', 'Forthisresearch,weusedacoreferenceresolutionsystem( #TAUTHOR_TAG)thatimplementsdifferentsetsofheuristicscorrespondingtovariousformsofcoreference.', 'Thisresolvescoreferenceby(e.g.termrepetition)(e.g.', 'subjectsofcommunicationverbsaremorelikelytorefertothelastpersonmentionedinthetext).', '', '']","['knowledge-basedtechniques.', '', '', '', '', '', 'Forthisresearch,weusedacoreferenceresolutionsystem( #TAUTHOR_TAG)thatimplementsdifferentsetsofheuristicscorrespondingtovariousformsofcoreference.', ',resolvescoreferenceby(e.g.termrepetition)(e.g.', 'subjectsofcommunicationverbsaremorelikelytorefertothelastpersonmentionedinthetext).', '', '']","['', '', '', '', '', '', 'Forthisresearch,weusedacoreferenceresolutionsystem( #TAUTHOR_TAG)thatimplementsdifferentsetsofheuristicscorrespondingtovariousformsofcoreference.', '', 'subjectsofcommunicationverbsaremorelikelytorefertothelastpersonmentionedinthetext).', '', '']",5
