token_context,word_context,seg_context,sent_cotext,label
"['!10;!12hours/day).', 'Inallanalyses,consecutiveperiodsof!60minutesofzerocounts(allowingfor2minutesofnon-zerocounts)weredefinedasnon-weartime[2, #TAUTHOR_TAG]andexcludedpriortoscoring']","['(!8;!10;!12hours/day).', 'Inallanalyses,consecutiveperiodsof!60minutesofzerocounts(allowingfor2minutesofnon-zerocounts)weredefinedasnon-weartime[2, #TAUTHOR_TAG]andexcludedpriortoscoring']","['(!8;!10;!12hours/day).', 'Inallanalyses,consecutiveperiodsof!60minutesofzerocounts(allowingfor2minutesofnon-zerocounts)weredefinedasnon-weartime[2, #TAUTHOR_TAG]andexcludedpriortoscoring']","['', 'Inallanalyses,consecutiveperiodsof!60minutesofzerocounts(allowingfor2minutesofnon-zerocounts)weredefinedasnon-weartime[2, #TAUTHOR_TAG]andexcludedpriortoscoring']",5
"[',asmostofthesestudieshaveincluded!3-5daysofmeasurement[12][13][14][15][16][17],withsomeexceptions(!1day[18];!6-7days[19, #TAUTHOR_TAG]).', '']","['fromunreliablemeasurementsofSED,asmostofthesestudieshaveincluded!3-5daysofmeasurement[12][13][14][15][16][17],withsomeexceptions(!1day[18];!6-7days[19, #TAUTHOR_TAG]).', '']","[',asmostofthesestudieshaveincluded!3-5daysofmeasurement[12][13][14][15][16][17],withsomeexceptions(!1day[18];!6-7days[19, #TAUTHOR_TAG]).', '']","['', 'InconsistentconclusionsacrossstudiesmightamongstotherreasonsarrivefromunreliablemeasurementsofSED,asmostofthesestudieshaveincluded!3-5daysofmeasurement[12][13][14][15][16][17],withsomeexceptions(!1day[18];!6-7days[19, #TAUTHOR_TAG]).', '']",0
"[',asmostofthesestudieshaveincluded!3-5daysofmeasurement[12][13][14][15][16][17],withsomeexceptions(!1day[18];!6-7days[ #TAUTHOR_TAG,20]).', '']","['fromunreliablemeasurementsofSED,asmostofthesestudieshaveincluded!3-5daysofmeasurement[12][13][14][15][16][17],withsomeexceptions(!1day[18];!6-7days[ #TAUTHOR_TAG,20]).', '']","[',asmostofthesestudieshaveincluded!3-5daysofmeasurement[12][13][14][15][16][17],withsomeexceptions(!1day[18];!6-7days[ #TAUTHOR_TAG,20]).', '']","['', 'InconsistentconclusionsacrossstudiesmightamongstotherreasonsarrivefromunreliablemeasurementsofSED,asmostofthesestudieshaveincluded!3-5daysofmeasurement[12][13][14][15][16][17],withsomeexceptions(!1day[18];!6-7days[ #TAUTHOR_TAG,20]).', '']",0
"['consistentconclusionsacrossstudiesmightamongstotherreasonsarrivefromunreliablemeasurementsofSED,asmostofthesestudieshaveincluded!3-5daysofmeasurement[12][13][14] #TAUTHOR_TAG[16][17],withsomeexceptions(!1day[18];!6-7days[19,20]).', '']","['', 'InconsistentconclusionsacrossstudiesmightamongstotherreasonsarrivefromunreliablemeasurementsofSED,asmostofthesestudieshaveincluded!3-5daysofmeasurement[12][13][14] #TAUTHOR_TAG[16][17],withsomeexceptions(!1day[18];!6-7days[19,20]).', '']","['consistentconclusionsacrossstudiesmightamongstotherreasonsarrivefromunreliablemeasurementsofSED,asmostofthesestudieshaveincluded!3-5daysofmeasurement[12][13][14] #TAUTHOR_TAG[16][17],withsomeexceptions(!1day[18];!6-7days[19,20]).', '']","['', 'InconsistentconclusionsacrossstudiesmightamongstotherreasonsarrivefromunreliablemeasurementsofSED,asmostofthesestudieshaveincluded!3-5daysofmeasurement[12][13][14] #TAUTHOR_TAG[16][17],withsomeexceptions(!1day[18];!6-7days[19,20]).', 'Moreover,asSEDarelikelytoberelatedtoweartime,correctionforweartimemightimprovereliability.', 'Consistentwiththishypothesis,percentSEDhaspreviouslybeenshowntobesuperiortominutesofSEDasapredictorofmetabolicrisk[18']",0
"['endofthePAspectrum,asopposedtomoderate-tovigorousPA(MVPA),butisnowincreasinglybeingviewedasabehaviordistinctfromPA,definedaswakingbehaviorcharacterizedbyanenergyexpenditure1.5metabolicequivalents(METs) #TAUTHOR_TAG.', 'Althoughsomewhatarbitrary']","['endofthePAspectrum,asopposedtomoderate-tovigorousPA(MVPA),butisnowincreasinglybeingviewedasabehaviordistinctfromPA,definedaswakingbehaviorcharacterizedbyanenergyexpenditure1.5metabolicequivalents(METs) #TAUTHOR_TAG.', 'Althoughsomewhatarbitrary,studiesusingActigraphinstrumentsmainlyoperationalizeSEDasthetimespent<100cpm.', 'Thiscutoffdifferssubstantially']","[')wasconceptualizedasthelowerendofthePAspectrum,asopposedtomoderate-tovigorousPA(MVPA),butisnowincreasinglybeingviewedasabehaviordistinctfromPA,definedaswakingbehaviorcharacterizedbyanenergyexpenditure1.5metabolicequivalents(METs) #TAUTHOR_TAG.', 'Althoughsomewhatarbitrary,studiesusingActigraphinstrumentsmainlyoperationalizeSEDasthetimespent<100cpm.', 'Thiscutoffdifferssubstant']","['ically,sedentarybehavior(SED)wasconceptualizedasthelowerendofthePAspectrum,asopposedtomoderate-tovigorousPA(MVPA),butisnowincreasinglybeingviewedasabehaviordistinctfromPA,definedaswakingbehaviorcharacterizedbyanenergyexpenditure1.5metabolicequivalents(METs) #TAUTHOR_TAG.', 'Althoughsomewhatarbitrary,studiesusingActigraphinstrumentsmainlyoperationalizeSEDasthetimespent<100cpm.', '']",0
"['[5-7,2,8].', 'However,suchstudydesignshavereceivedcritiqueforpossiblyleavingtooptimisticresultsandshouldbeinterpretedwithcaution #TAUTHOR_TAG[24][25].', '']","['[5-7,2,8].', 'However,suchstudydesignshavereceivedcritiqueforpossiblyleavingtooptimisticresultsandshouldbeinterpretedwithcaution #TAUTHOR_TAG[24][25].', '']","['[5-7,2,8].', 'However,suchstudydesignshavereceivedcritiqueforpossiblyleavingtooptimisticresultsandshouldbeinterpretedwithcaution #TAUTHOR_TAG[24][25].', '']","['', 'However,suchstudydesignshavereceivedcritiqueforpossiblyleavingtooptimisticresultsandshouldbeinterpretedwithcaution #TAUTHOR_TAG[24][25].', '']",2
"['8].', 'However,suchstudydesignshavereceivedcritiqueforpossiblyleavingtooptimisticresultsandshouldbeinterpretedwithcaution[23] #TAUTHOR_TAG[25].', '']","['[5-7,2,8].', 'However,suchstudydesignshavereceivedcritiqueforpossiblyleavingtooptimisticresultsandshouldbeinterpretedwithcaution[23] #TAUTHOR_TAG[25].', '']","['8].', 'However,suchstudydesignshavereceivedcritiqueforpossiblyleavingtooptimisticresultsandshouldbeinterpretedwithcaution[23] #TAUTHOR_TAG[25].', '']","['', 'However,suchstudydesignshavereceivedcritiqueforpossiblyleavingtooptimisticresultsandshouldbeinterpretedwithcaution[23] #TAUTHOR_TAG[25].', 'First,theresultsareinprincipleonlygeneralizabletotheincludeddays,asinclusionofadditionaldays,weeksorseasonswilladdvariability.', 'Secondly,theassumptionofcompoundsymmetry(i.e.,similarvariancesandco-variances)acrossdaysofmeasurementmightnotbefulfilled.', '']",4
"['8].', 'However,suchstudydesignshavereceivedcritiqueforpossiblyleavingtooptimisticresultsandshouldbeinterpretedwithcaution[23][24] #TAUTHOR_TAG.', '']","['[5-7,2,8].', 'However,suchstudydesignshavereceivedcritiqueforpossiblyleavingtooptimisticresultsandshouldbeinterpretedwithcaution[23][24] #TAUTHOR_TAG.', '']","['8].', 'However,suchstudydesignshavereceivedcritiqueforpossiblyleavingtooptimisticresultsandshouldbeinterpretedwithcaution[23][24] #TAUTHOR_TAG.', '']","['', 'However,suchstudydesignshavereceivedcritiqueforpossiblyleavingtooptimisticresultsandshouldbeinterpretedwithcaution[23][24] #TAUTHOR_TAG.', '']",2
"['', 'ThepossibleimpairedreliabilityforSEDcomparedtoothervariablesmaybeofcriticalimportance,giventheincreasedinterestinSEDintheprimaryandsecondarypreventionofarangeofchronicdiseasesaswellasprematuredeath[9] #TAUTHOR_TAG[11].', 'InconsistentconclusionsacrossstudiesmightamongstotherreasonsarrivefromunreliablemeasurementsofSED,']","['', 'ThepossibleimpairedreliabilityforSEDcomparedtoothervariablesmaybeofcriticalimportance,giventheincreasedinterestinSEDintheprimaryandsecondarypreventionofarangeofchronicdiseasesaswellasprematuredeath[9] #TAUTHOR_TAG[11].', 'InconsistentconclusionsacrossstudiesmightamongstotherreasonsarrivefromunreliablemeasurementsofSED,']","['', 'ThepossibleimpairedreliabilityforSEDcomparedtoothervariablesmaybeofcriticalimportance,giventheincreasedinterestinSEDintheprimaryandsecondarypreventionofarangeofchronicdiseasesaswellasprematuredeath[9] #TAUTHOR_TAG[11].', 'InconsistentconclusionsacrossstudiesmightamongstotherreasonsarrivefromunreliablemeasurementsofSED,']","['', 'ThepossibleimpairedreliabilityforSEDcomparedtoothervariablesmaybeofcriticalimportance,giventheincreasedinterestinSEDintheprimaryandsecondarypreventionofarangeofchronicdiseasesaswellasprematuredeath[9] #TAUTHOR_TAG[11].', '']",0
"['', 'ThepossibleimpairedreliabilityforSEDcomparedtoothervariablesmaybeofcriticalimportance,giventheincreasedinterestinSEDintheprimaryandsecondarypreventionofarangeofchronicdiseasesaswellasprematuredeath #TAUTHOR_TAG[10][11].', 'InconsistentconclusionsacrossstudiesmightamongstotherreasonsarrivefromunreliablemeasurementsofSED,']","['', 'ThepossibleimpairedreliabilityforSEDcomparedtoothervariablesmaybeofcriticalimportance,giventheincreasedinterestinSEDintheprimaryandsecondarypreventionofarangeofchronicdiseasesaswellasprematuredeath #TAUTHOR_TAG[10][11].', 'InconsistentconclusionsacrossstudiesmightamongstotherreasonsarrivefromunreliablemeasurementsofSED,']","['', 'ThepossibleimpairedreliabilityforSEDcomparedtoothervariablesmaybeofcriticalimportance,giventheincreasedinterestinSEDintheprimaryandsecondarypreventionofarangeofchronicdiseasesaswellasprematuredeath #TAUTHOR_TAG[10][11].', 'InconsistentconclusionsacrossstudiesmightamongstotherreasonsarrivefromunreliablemeasurementsofSED,']","['', 'ThepossibleimpairedreliabilityforSEDcomparedtoothervariablesmaybeofcriticalimportance,giventheincreasedinterestinSEDintheprimaryandsecondarypreventionofarangeofchronicdiseasesaswellasprematuredeath #TAUTHOR_TAG[10][11].', '']",0
