token_context,word_context,seg_context,sent_cotext,label
"['', 'Theframeworkwasoriginallydevelopedfortherealizationofdeep-syntacticstructuresinNLG #TAUTHOR_TAG']","['', 'Theframeworkwasoriginallydevelopedfortherealizationofdeep-syntacticstructuresinNLG #TAUTHOR_TAG']","['', 'Theframeworkwasoriginallydevelopedfortherealizationofdeep-syntacticstructuresinNLG #TAUTHOR_TAG']","['', 'Theframeworkwasoriginallydevelopedfortherealizationofdeep-syntacticstructuresinNLG #TAUTHOR_TAG']",0
"['', 'Figure2illustratesaDSyntSfromameteorologicalapplication,MeteoCogent #AUTHOR_TAG,representedusingthestandardgraphicalnotationandalsotheRealProASCIInotationusedinternallyintheframework #TAUTHOR_TAG']","['', 'Figure2illustratesaDSyntSfromameteorologicalapplication,MeteoCogent #AUTHOR_TAG,representedusingthestandardgraphicalnotationandalsotheRealProASCIInotationusedinternallyintheframework #TAUTHOR_TAG']","['', 'Figure2illustratesaDSyntSfromameteorologicalapplication,MeteoCogent #AUTHOR_TAG,representedusingthestandardgraphicalnotationandalsotheRealProASCIInotationusedinternallyintheframework #TAUTHOR_TAG']","['', 'Figure2illustratesaDSyntSfromameteorologicalapplication,MeteoCogent #AUTHOR_TAG,representedusingthestandardgraphicalnotationandalsotheRealProASCIInotationusedinternallyintheframework #TAUTHOR_TAG']",2
"['oIIafaillipleuvoir.', 'Moredetailsonhowthestructuraldivergencesdescribedin #TAUTHOR_TAGcanbeaccountedforusingourformalismcanbefoundin #AUTHOR_TAG']","['oIIafaillipleuvoir.', 'Moredetailsonhowthestructuraldivergencesdescribedin #TAUTHOR_TAGcanbeaccountedforusingourformalismcanbefoundin #AUTHOR_TAG']","['oIIafaillipleuvoir.', 'Moredetailsonhowthestructuraldivergencesdescribedin #TAUTHOR_TAGcanbeaccountedforusingourformalismcanbefoundin #AUTHOR_TAG']","['oIIafaillipleuvoir.', 'Moredetailsonhowthestructuraldivergencesdescribedin #TAUTHOR_TAGcanbeaccountedforusingourformalismcanbefoundin #AUTHOR_TAG']",0
"['', 'OurworkextendsdirectionstakeninsystemssuchasAriane #AUTHOR_TAG,FoG #AUTHOR_TAG,JOYCE(Rambowand #TAUTHOR_TAG,andLFS #AUTHOR_TAG.', 'Althoughitadoptsthegeneralprinciplesfoundintheabovementionedsystems']","['', 'OurworkextendsdirectionstakeninsystemssuchasAriane #AUTHOR_TAG,FoG #AUTHOR_TAG,JOYCE(Rambowand #TAUTHOR_TAG,andLFS #AUTHOR_TAG.', 'Althoughitadoptsthegeneralprinciplesfoundintheabovementionedsystems,']","['', 'OurworkextendsdirectionstakeninsystemssuchasAriane #AUTHOR_TAG,FoG #AUTHOR_TAG,JOYCE(Rambowand #TAUTHOR_TAG,andLFS #AUTHOR_TAG.', 'Althoughitadoptsthegeneralprinciplesfoundintheabovementionedsystems,']","['thispaperwepresentalinguisticallymotivatedframeworkforuniformlexicostructuralprocessing.', 'Ithasbeenusedfortransformationsofconceptualandsyntacticstructuresduringgenerationinmonolingualandmultilingualnaturallanguagegeneration(NLG)andfortransferinmachinetranslation(MT).', 'OurworkextendsdirectionstakeninsystemssuchasAriane #AUTHOR_TAG,FoG #AUTHOR_TAG,JOYCE(Rambowand #TAUTHOR_TAG,andLFS #AUTHOR_TAG.', '']",2
"['frameworkrepresentsageneralizationofseveralpredecessorNLGsystemsbasedonMeaning-TextTheory:FoG #AUTHOR_TAG,LFS #AUTHOR_TAG,andJOYCE(Rambowand #TAUTHOR_TAG.', 'Theframeworkwasoriginallydevelopedfortherealizationofdeep-syntacticstructuresinNLG']","['frameworkrepresentsageneralizationofseveralpredecessorNLGsystemsbasedonMeaning-TextTheory:FoG #AUTHOR_TAG,LFS #AUTHOR_TAG,andJOYCE(Rambowand #TAUTHOR_TAG.', 'Theframeworkwasoriginallydevelopedfortherealizationofdeep-syntacticstructuresinNLG']","['frameworkrepresentsageneralizationofseveralpredecessorNLGsystemsbasedonMeaning-TextTheory:FoG #AUTHOR_TAG,LFS #AUTHOR_TAG,andJOYCE(Rambowand #TAUTHOR_TAG.', 'Theframeworkwasoriginallydevelopedfortherealizationofdeep-syntacticstructuresinNLG']","['frameworkrepresentsageneralizationofseveralpredecessorNLGsystemsbasedonMeaning-TextTheory:FoG #AUTHOR_TAG,LFS #AUTHOR_TAG,andJOYCE(Rambowand #TAUTHOR_TAG.', 'Theframeworkwasoriginallydevelopedfortherealizationofdeep-syntacticstructuresinNLG']",2
"['', ""Partofspeechtaggerstypicallyrequireinputintheformatofasinglesentenceperline(forexampleBrill'stagger #TAUTHOR_TAG)andparsersgenerallyaimtoproduceatreespanningeachsentence""]","['', ""Partofspeechtaggerstypicallyrequireinputintheformatofasinglesentenceperline(forexampleBrill'stagger #TAUTHOR_TAG)andparsersgenerallyaimtoproduceatreespanningeachsentence""]","['', ""Partofspeechtaggerstypicallyrequireinputintheformatofasinglesentenceperline(forexampleBrill'stagger #TAUTHOR_TAG)andparsersgenerallyaimtoproduceatreespanningeachsentence""]","['', ""Partofspeechtaggerstypicallyrequireinputintheformatofasinglesentenceperline(forexampleBrill'stagger #TAUTHOR_TAG)andparsersgenerallyaimtoproduceatreespanningeachsentence""]",0
"['bothlanguages,weresolvedcoreferencebyusingSWIZZLE,ourimplementationofabilingualcoreferenceresolver.', 'SWIZZLEisamultilingualenhancementofCOCKTAIL #TAUTHOR_TAG,acoreferenceresolutionsystemthatoperatesonamixtureofheuristicsthatcombinesemanticandtextualcohesiveinformation.', '']","['bothlanguages,weresolvedcoreferencebyusingSWIZZLE,ourimplementationofabilingualcoreferenceresolver.', 'SWIZZLEisamultilingualenhancementofCOCKTAIL #TAUTHOR_TAG,acoreferenceresolutionsystemthatoperatesonamixtureofheuristicsthatcombinesemanticandtextualcohesiveinformation.', '']","['bothlanguages,weresolvedcoreferencebyusingSWIZZLE,ourimplementationofabilingualcoreferenceresolver.', 'SWIZZLEisamultilingualenhancementofCOCKTAIL #TAUTHOR_TAG,acoreferenceresolutionsystemthatoperatesonamixtureofheuristicsthatcombinesemanticandtextualcohesiveinformation.', '']","['bothlanguages,weresolvedcoreferencebyusingSWIZZLE,ourimplementationofabilingualcoreferenceresolver.', 'SWIZZLEisamultilingualenhancementofCOCKTAIL #TAUTHOR_TAG,acoreferenceresolutionsystemthatoperatesonamixtureofheuristicsthatcombinesemanticandtextualcohesiveinformation.', '']",2
"['knowledge.', 'Theacquisitionofsuchknowledgeistime-consuming,difficult,anderror-prone.', 'Nevertheless,recentresultsshowthatknowledge-poormethodsperformwithamazingaccuracy(cfXXX #TAUTHOR_TAG, #AUTHOR_TAG #AUTHOR_TAG).', 'Forexample,CogNIAC #AUTHOR_TAG,asystembasedonsevenorderedheuristics,generateshigh-precisionresolution(over90%)']","['discourseknowledge.', 'Theacquisitionofsuchknowledgeistime-consuming,difficult,anderror-prone.', 'Nevertheless,recentresultsshowthatknowledge-poormethodsperformwithamazingaccuracy(cfXXX #TAUTHOR_TAG, #AUTHOR_TAG #AUTHOR_TAG).', 'Forexample,CogNIAC #AUTHOR_TAG,asystembasedonsevenorderedheuristics,generateshigh-precisionresolution(over90%)']","['discourseknowledge.', 'Theacquisitionofsuchknowledgeistime-consuming,difficult,anderror-prone.', 'Nevertheless,recentresultsshowthatknowledge-poormethodsperformwithamazingaccuracy(cfXXX #TAUTHOR_TAG, #AUTHOR_TAG #AUTHOR_TAG).', 'Forexample,CogNIAC #AUTHOR_TAG,asystembasedonsevenorderedheuristics,generateshigh-precisionresolution(over90%)']","['', 'Theacquisitionofsuchknowledgeistime-consuming,difficult,anderror-prone.', 'Nevertheless,recentresultsshowthatknowledge-poormethodsperformwithamazingaccuracy(cfXXX #TAUTHOR_TAG, #AUTHOR_TAG #AUTHOR_TAG).', 'Forexample,CogNIAC #AUTHOR_TAG,asystembasedonsevenorderedheuristics,generateshigh-precisionresolution(over90%)forsomecasesofpronominalreference.', '']",0
"['', 'DetailsofthetopperformingheuristicsofCOCKTAILwerereportedin #TAUTHOR_TAG']","['', 'DetailsofthetopperformingheuristicsofCOCKTAILwerereportedin #TAUTHOR_TAG']","['', 'DetailsofthetopperformingheuristicsofCOCKTAILwerereportedin #TAUTHOR_TAG']","['', 'DetailsofthetopperformingheuristicsofCOCKTAILwerereportedin #TAUTHOR_TAG']",0
"['', 'Forthisresearch,weusedacoreferenceresolutionsystem( #TAUTHOR_TAG)thatimplementsdifferentsetsofheuristicscorrespondingtovariousformsofcoreference.', 'This']","['', 'Forthisresearch,weusedacoreferenceresolutionsystem( #TAUTHOR_TAG)thatimplementsdifferentsetsofheuristicscorrespondingtovariousformsofcoreference.', 'This']","['', 'Forthisresearch,weusedacoreferenceresolutionsystem( #TAUTHOR_TAG)thatimplementsdifferentsetsofheuristicscorrespondingtovariousformsofcoreference.', '']","['', 'Forthisresearch,weusedacoreferenceresolutionsystem( #TAUTHOR_TAG)thatimplementsdifferentsetsofheuristicscorrespondingtovariousformsofcoreference.', '']",5
